Label;Parent;PatientName;PatientID;StudyID;SeriesNumber;InstanceNumber;AcquisitionDate
_x_00000_y_00000_.jpg;;Fly;42;412.3274;4;1;20231111
_x_00000_y_00160_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;2;20231110
_x_00000_y_00320_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;3;20231110
_x_00000_y_00480_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;4;20231110
_x_00000_y_00640_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;5;20231110
_x_00000_y_00800_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;6;20231110
_x_00000_y_00960_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;7;20231110
_x_00000_y_01120_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;8;20231110
_x_00000_y_01280_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;9;20231110
_x_00000_y_01440_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;10;20231110
_x_00000_y_01600_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;11;20231110
_x_00000_y_01760_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;12;20231110
_x_00000_y_01920_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;13;20231110
_x_00000_y_02080_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;14;20231110
_x_00000_y_02240_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;15;20231110
_x_00000_y_02400_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;16;20231110
_x_00000_y_02560_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;17;20231110
_x_00000_y_02720_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;18;20231110
_x_00000_y_02880_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;19;20231110
_x_00000_y_03040_.jpg;_x_00000_y_00000_;Fly;42;412.3274;4;20;20231110
images;;Fly;42;412.3274;1;1;20231110
budda_texture_png.nxs;;Buddha;42053;547545.457489;0;1;20231110
